0.005,130.1
0.01,129.6
0.015,121.6
0.02,129.2
0.025,122.8
0.03,120.6
0.035,131.9
0.04,135.2
0.045,128.2
0.05,130.6
0.055,119.0
0.06,125.2
0.065,124.3
0.07,126.1
0.075,135.2
0.08,132.6
0.085,131.0
0.09,136.5
0.095,133.9
0.1,130.5
0.105,130.2
0.11,137.0
0.115,132.1
0.12,124.8
0.125,123.5
0.13,127.5
0.135,132.7
0.14,137.5
0.145,136.2
0.15,139.6
0.155,133.7
0.16,131.3
0.165,133.4
0.17,136.7
0.175,123.6
0.18,135.1
0.185,135.7
0.19,136.0
0.195,126.7
0.2,132.4
0.205,144.1
0.21,133.2
0.215,138.5
0.22,137.4
0.225,138.4
0.23,130.0
0.235,137.3
0.24,140.1
0.245,137.1
0.25,132.7
